correct,rt,stimulus,isi,subj_idx,session,trial,response,prevresp,prev2resp,prev3resp,prevstim,prev2stim,prev3stim,prevrt
1,0.63248463167929,-1,5.844,109,1,2,0,1,1,-1,1,1,-1,0.609001968592933
1,0.68090458937877,1,5.755,109,1,3,1,-1,1,1,-1,1,1,-0.387463402947597
1,0.769877767063008,1,5.427,109,1,4,1,1,-1,1,1,-1,1,-0.126578074136671
1,0.529089777772242,1,6.121,109,1,5,1,1,1,-1,1,1,-1,0.307756125745271
1,0.571196107576725,1,5.196,109,1,6,1,1,1,1,1,1,1,-1.01874725862
1,0.542837593739023,-1,6.218,109,1,7,0,1,1,1,1,1,1,-0.74793032639849
1,0.691418156141481,-1,5.462,109,1,8,0,-1,1,1,-1,1,1,-0.928024971306754
1,0.527600655765127,-1,5.695,109,1,9,0,-1,-1,1,-1,-1,1,-0.0723874515775529
1,0.896662284326339,1,6.378,109,1,10,1,-1,-1,-1,-1,-1,-1,-1.0287151804128
0,0.749238037345094,1,6.021,109,1,11,0,1,-1,-1,1,-1,-1,0.846909401896884
1,0.537355524317718,-1,5.967,109,1,12,0,-1,1,-1,1,1,-1,0.211647652698477
1,0.524452793050841,-1,6.41,109,1,13,0,-1,-1,1,-1,1,1,-0.963922841401377
1,0.60006718949171,1,5.876,109,1,14,1,-1,-1,-1,-1,-1,1,-1.04987934368642
1,1.05043538420796,1,5.829,109,1,15,1,1,-1,-1,1,-1,-1,-0.573541628541792
1,0.562061874064057,-1,5.169,109,1,16,0,1,1,-1,1,1,-1,1.40669256068448
1,0.485958679903888,-1,6.24,109,1,17,0,-1,1,1,-1,1,1,-0.804943413390891
1,0.552532259677719,-1,6.34,109,1,18,0,-1,-1,1,-1,-1,1,-1.31948445662345
1,0.737030545729795,1,6.467,109,1,19,1,-1,-1,-1,-1,-1,-1,-0.865420517218872
1,0.492890044523847,-1,5.759,109,1,20,0,1,-1,-1,1,-1,-1,0.153549712998896
1,0.514994693071458,-1,5.306,109,1,21,0,-1,1,-1,-1,1,-1,-1.26939662242227
1,0.566376740589476,-1,5.399,109,1,22,0,-1,-1,1,-1,-1,1,-1.11424217814344
0,0.774528616681891,-1,5.246,109,1,23,1,-1,-1,-1,-1,-1,-1,-0.777896770204213
1,0.776983077913428,1,6.361,109,1,24,1,1,-1,-1,-1,-1,-1,0.329056824484414
1,0.766227137121859,-1,5.825,109,1,25,0,1,1,-1,1,-1,-1,0.340246649979178
0,0.950936188714877,-1,5.591,109,1,26,1,-1,1,1,-1,1,-1,0.290946053439361
1,0.666098426947428,1,6.098,109,1,27,1,1,-1,1,-1,-1,1,1.05474994324347
0,0.928840013468289,-1,5.237,109,1,28,1,1,1,-1,1,-1,-1,-0.204330377070134
1,0.852836424082852,1,5.104,109,1,29,1,1,1,1,-1,1,-1,0.971601755041945
1,0.751635750992136,-1,5.254,109,1,30,0,1,1,1,1,-1,1,0.669682551178349
1,0.618391028172482,1,6.427,109,1,31,1,-1,1,1,-1,1,-1,0.222947571941541
1,0.566394894442965,1,6.405,109,1,32,1,1,-1,1,1,-1,1,-0.467161529720078
1,0.588337597007921,-1,5.164,109,1,33,0,1,1,-1,1,1,-1,-0.77778341321858
0,0.591289036357921,1,5.017,109,1,34,0,-1,1,1,-1,1,1,-0.643357548156176
1,0.738289514943062,1,6.034,109,1,35,1,-1,-1,1,1,-1,1,-0.625660043788262
