subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt
1,1,3,87,-1,0,1.461,-1,-1,0.511317683642179
1,1,3,88,1,1,1.771,-1,-1,0.193980530466605
1,1,3,89,-1,0,1.101,1,1,0.910332955476192
1,1,3,90,-1,0,1.642,-1,-1,-0.859206940380641
1,1,3,91,-1,0,1.211,-1,-1,0.628780318643177
1,1,3,92,-1,0,0.981,-1,-1,-0.504693982212932
1,1,3,93,1,1,1.221,-1,-1,-1.28882384779083
1,1,3,94,-1,0,1.351,1,1,-0.474078710610598
1,1,3,95,1,1,0.8,-1,-1,-0.097425327528368
1,1,3,96,1,0,1.411,1,1,-2.04812805401518
1,1,3,97,1,1,1.411,1,-1,0.0643436144506365
1,1,3,98,1,1,1.901,1,1,0.0643436144506365
1,1,3,99,-1,0,1.101,1,1,1.17403983686193
1,1,3,100,1,1,1.592,-1,-1,-0.859206940380641
1,1,3,101,-1,0,1.561,1,1,0.513656858111781
1,1,3,102,-1,0,1.24,-1,-1,0.440450136712004
1,1,3,103,-1,0,1.091,-1,-1,-0.416594330053427
1,1,3,104,1,1,1.441,-1,-1,-0.89317429323457
1,1,3,107,1,0,1.241,-1,-1,-1.52377852773597
1,1,3,108,1,0,0.991,1,-1,-0.413593285113893
1,1,3,109,-1,0,1.301,1,-1,-1.25106697195998
1,1,3,110,1,0,1.05,-1,-1,-0.237818888763354
1,1,3,111,-1,0,1.071,1,-1,-1.03577429326884
1,1,3,112,1,0,1.471,-1,-1,-0.962053150672416
1,1,3,113,1,1,1.531,1,-1,0.219374872083918
1,1,3,114,-1,0,1.111,1,1,0.368207325503183
1,1,3,115,1,1,1.241,-1,-1,-0.825546710653121
1,1,3,116,1,1,1.201,1,1,-0.413593285113893
1,1,3,117,1,1,1.031,1,1,-0.535563114685842
1,1,3,118,-1,0,0.821,1,1,-1.1037561197293
1,1,3,119,-1,0,1.851,-1,-1,-1.95166526436433
1,1,4,1,-1,0,1.951,1,1,0.343811458083353
1,1,4,2,1,1,1.091,-1,-1,1.27069106086109
1,1,4,3,1,0,1.391,1,1,-0.89317429323457
1,1,4,4,1,1,1.641,1,-1,0.0111978718335166
1,1,4,5,-1,0,1.1,1,1,0.626512395304144
1,1,4,6,-1,0,1.151,-1,-1,-0.862589763008579
1,1,4,7,1,1,0.71,-1,-1,-0.693869109793073
1,1,4,8,1,1,1.1,1,1,-2.49243169141934
1,1,4,9,1,1,1.181,1,1,-0.862589763008579
1,1,4,10,-1,0,1.12,1,1,-0.598080050584251
1,1,4,11,1,1,1.261,-1,-1,-0.795510541970384
1,1,4,12,-1,0,1.812,1,1,-0.354074894359957
1,1,4,13,1,0,0.801,-1,-1,0.995536025766481
1,1,4,14,-1,0,1.241,1,-1,-2.04347746497081
1,1,4,15,-1,0,1.081,-1,-1,-0.413593285113893
1,1,4,16,-1,0,1.181,-1,-1,-0.927454425376561
1,1,4,17,-1,0,1.631,-1,-1,-0.598080050584251
1,1,4,18,-1,0,1.181,-1,-1,0.603756847400924
1,1,4,19,1,1,1,-1,-1,-0.598080050584251
1,1,4,20,-1,0,0.99,1,1,-1.21741012351707
1,1,4,21,-1,0,1.431,-1,-1,-1.25482547409234
1,1,4,22,-1,0,1.071,-1,-1,0.116741327372302
1,1,4,23,1,1,0.911,-1,-1,-0.962053150672416
1,1,4,24,-1,0,1.331,1,1,-1.56442080962027
1,1,4,25,1,1,1.081,-1,-1,-0.152949041991605
1,1,4,26,1,1,1.832,1,1,-0.927454425376561
1,1,4,27,1,0,0.72,1,1,1.03640137623402
1,1,4,28,-1,0,1.041,1,-1,-2.44036376509894
1,1,4,31,1,0,1.791,-1,-1,2.13673242448475
1,1,4,32,-1,0,1.911,1,-1,0.95213907752614
1,1,4,33,1,1,1.301,-1,-1,1.19357186511804
1,1,4,34,1,0,1.441,1,1,-0.237818888763354
1,1,4,35,-1,0,0.99,1,-1,0.142666195690862
1,1,4,36,1,1,1.641,-1,-1,-1.25482547409234
1,1,4,37,1,1,1.091,1,1,0.626512395304144
1,1,4,38,-1,0,0.641,1,1,-0.89317429323457
1,1,4,39,1,1,1.892,-1,-1,-2.87303365539212
1,1,4,40,1,1,1.021,1,1,1.1563729624655
1,1,4,41,-1,0,1.071,1,1,-1.14004096882482
1,1,4,42,-1,1,1.041,-1,-1,-0.962053150672416
1,1,4,43,1,1,1.461,-1,1,-1.06782151595523
1,1,4,44,1,1,1.291,1,1,0.193980530466605
1,1,4,45,-1,1,1.951,1,1,-0.26654430941556
1,1,4,46,1,1,1.611,-1,1,1.27069106086109
1,1,4,47,1,1,1.321,1,1,0.557824172841346
1,1,4,48,-1,0,1.352,1,1,-0.181024560017229
1,1,4,49,1,1,1.091,-1,-1,-0.0946707613310056
1,1,4,50,-1,0,1.321,1,1,-0.89317429323457
1,1,4,51,1,1,1.642,-1,-1,-0.181024560017229
1,1,4,52,-1,0,1.011,1,1,0.628780318643177
1,1,4,53,-1,1,1.661,-1,-1,-1.1766829580001
1,1,4,54,1,1,1.791,-1,1,0.671610415562151
1,1,4,55,-1,0,1.501,1,1,0.95213907752614
1,1,4,56,-1,0,1.871,-1,-1,0.294534814803947
1,1,4,57,1,1,1.601,-1,-1,1.1148212597973
1,1,4,58,1,1,1.02,1,1,0.534643549715221
1,1,4,59,-1,0,1.431,1,1,-1.14368898092064
1,1,4,60,1,1,1.091,-1,-1,0.116741327372302
