subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev2stim,prev3stim,prev3resp
1,1,1,73,-1,0,1.862,-1,-1,0.319254666892035,-1,1,-1,-1
1,1,1,74,1,1,1.682,-1,-1,1.09687042704595,-1,-1,1,-1
1,1,1,75,1,0,1.891,1,1,0.718382623351243,-1,-1,-1,-1
1,1,1,76,1,0,1.761,1,-1,1.15440479110277,1,1,-1,-1
1,1,1,77,1,0,1.181,1,-1,0.889252513838206,-1,1,1,1
1,1,1,78,1,1,2.282,1,-1,-0.598080050584251,-1,1,1,-1
1,1,1,83,1,1,2.442,1,-1,0.0932535772467723,-1,1,1,-1
1,1,1,84,1,0,1.521,1,1,2.10636687239691,1,1,1,-1
1,1,1,85,-1,0,1.891,1,-1,0.343811458083353,1,1,1,1
1,1,1,86,1,1,1.631,-1,-1,1.15440479110277,-1,1,1,1
1,1,1,87,-1,0,1.771,1,1,0.603756847400924,-1,-1,1,-1
1,1,1,88,-1,1,1.541,-1,-1,0.910332955476192,1,1,-1,-1
1,1,1,89,-1,0,1.691,-1,1,0.392444364535482,-1,-1,1,1
1,1,1,90,-1,1,1.101,-1,-1,0.738249355593875,1,-1,-1,-1
1,1,1,91,-1,0,1.54,-1,1,-0.859206940380641,-1,-1,-1,1
1,1,1,92,1,1,1.131,-1,-1,0.390027749036219,1,-1,-1,-1
1,1,1,93,1,0,1.521,1,1,-0.759125750786455,-1,-1,-1,1
1,1,1,94,-1,1,1.191,1,-1,0.343811458083353,1,1,-1,-1
1,1,1,95,1,0,1.712,-1,1,-0.56669035326797,-1,1,1,1
1,1,1,96,1,1,2.042,1,-1,0.784196878000819,1,-1,1,-1
1,1,1,97,-1,1,1.521,1,1,1.44040461418268,-1,1,-1,1
1,1,1,98,1,1,1.872,-1,1,0.343811458083353,1,1,1,-1
1,1,1,99,1,0,1.481,1,1,1.11681046425066,1,-1,1,1
1,1,1,100,1,1,1.841,1,-1,0.244597163995574,1,1,-1,1
1,1,1,101,-1,0,1.691,1,1,1.05464544455344,-1,1,1,1
1,1,1,102,1,1,1.751,-1,-1,0.738249355593875,1,1,1,-1
1,1,1,103,-1,0,1.53,1,1,0.868052023480078,-1,-1,1,1
1,1,1,104,-1,0,1.611,-1,-1,0.365774920290292,1,1,-1,-1
1,1,1,105,-1,1,1.462,-1,-1,0.557824172841346,-1,-1,1,1
1,1,1,106,-1,0,1.191,-1,1,0.196527773840624,-1,-1,-1,-1
1,1,1,107,1,0,1.581,-1,-1,-0.56669035326797,1,-1,-1,-1
1,1,1,108,-1,0,2.122,1,-1,0.487844743041116,-1,-1,-1,1
1,1,1,109,-1,0,1.552,-1,-1,1.5834691363976,-1,1,-1,-1
1,1,1,110,-1,0,1.771,-1,-1,0.418924111807345,-1,-1,1,-1
1,1,1,111,1,1,1.721,-1,-1,0.910332955476192,-1,-1,-1,-1
1,1,1,112,-1,0,1.01,1,1,0.803716389315744,-1,-1,-1,-1
1,1,1,113,-1,1,1.551,-1,-1,-1.18036707116161,1,1,-1,-1
1,1,1,114,1,0,1.591,-1,1,0.416524629902886,-1,-1,1,1
1,1,1,115,-1,0,1.461,1,-1,0.511317683642179,1,-1,-1,-1
1,1,1,116,1,0,1.461,-1,-1,0.193980530466605,-1,1,-1,1
1,1,1,117,1,1,1.621,1,-1,0.193980530466605,-1,-1,1,-1
1,1,1,118,-1,0,1.291,1,1,0.580861350599092,-1,1,-1,-1
1,1,1,119,-1,0,1.231,-1,-1,-0.26654430941556,1,1,1,-1
1,1,2,1,-1,1,1.221,-1,-1,-0.443713158522756,-1,-1,1,1
1,1,2,2,1,0,1.001,-1,1,-0.474078710610598,-1,-1,-1,-1
1,1,2,3,-1,1,0.94,1,-1,-1.2136891876292,1,-1,-1,-1
1,1,2,4,-1,1,1.421,-1,1,-1.44775963181653,-1,1,-1,1
1,1,2,5,-1,0,1.121,-1,1,0.0906346562482365,1,-1,1,-1
1,1,2,6,-1,1,1.331,-1,-1,-0.79218809994184,1,-1,-1,1
1,1,2,7,1,0,2.152,-1,1,-0.152949041991605,-1,-1,-1,1
1,1,2,8,-1,1,1.711,1,-1,1.63573198881412,1,-1,-1,-1
1,1,2,9,1,1,1.261,-1,1,0.782021712267954,-1,1,-1,1
1,1,2,10,1,1,1.621,1,1,-0.354074894359957,1,-1,1,-1
1,1,2,11,1,1,1.421,1,1,0.580861350599092,1,1,-1,1
1,1,2,12,1,1,1.402,1,1,0.0906346562482365,1,1,1,1
1,1,2,13,1,1,2.171,1,1,0.0405218734358168,1,1,1,1
1,1,2,14,1,0,1.491,1,1,1.66845629153198,1,1,1,1
1,1,2,15,-1,1,1.771,1,-1,0.269649721836387,1,1,1,1
1,1,2,16,1,0,1.201,-1,1,0.910332955476192,-1,1,1,1
1,1,2,17,-1,1,1.292,1,-1,-0.535563114685842,1,-1,1,-1
1,1,2,18,-1,0,1.471,-1,1,-0.263661772650648,-1,1,-1,1
1,1,2,19,1,1,1.772,-1,-1,0.219374872083918,1,-1,1,-1
1,1,2,20,1,0,1.461,1,1,0.91243444920735,-1,-1,-1,1
1,1,2,21,1,1,1.592,1,-1,0.193980530466605,1,1,-1,-1
1,1,2,22,1,0,1.261,1,1,0.513656858111781,-1,1,1,1
1,1,2,23,1,1,1.081,1,-1,-0.354074894359957,1,1,1,-1
1,1,2,24,-1,0,1.862,1,1,-0.927454425376561,-1,1,1,1
1,1,2,25,1,0,0.911,-1,-1,1.09687042704595,1,1,1,-1
1,1,2,26,-1,0,1.761,1,-1,-1.56442080962027,-1,-1,1,1
1,1,2,27,1,0,1.291,-1,-1,0.889252513838206,-1,1,-1,-1
1,1,2,28,1,0,1.03,1,-1,-0.26654430941556,-1,-1,1,-1
1,1,2,29,1,1,1.651,1,-1,-1.10736873141104,-1,1,-1,-1
1,1,2,30,1,1,1.111,1,1,0.649129694797186,-1,1,1,-1
1,1,2,31,-1,0,1.151,1,1,-0.825546710653121,1,1,1,-1
1,1,2,32,1,0,2.081,-1,-1,-0.693869109793073,1,1,1,1
1,1,2,33,1,1,1.741,1,-1,1.51083555102178,-1,-1,1,1
1,1,2,34,1,1,1.721,1,1,0.84673010926207,-1,1,-1,-1
1,1,2,35,-1,0,1.071,1,1,0.803716389315744,1,1,1,-1
1,1,2,36,-1,0,1.161,-1,-1,-0.962053150672416,1,1,1,1
1,1,2,37,-1,1,1.601,-1,-1,-0.661664790923315,-1,-1,1,1
1,1,2,38,-1,0,1.361,-1,1,0.534643549715221,-1,-1,-1,-1
1,1,2,39,1,0,1.171,-1,-1,-0.0699709549759631,1,-1,-1,-1
1,1,2,40,-1,1,1.691,1,-1,-0.629736670298611,-1,-1,-1,1
