subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev3resp,prev2stim,prev3stim,prev2rt,prev3rt
1,1,1,47,-1,0,0.992,1,1,-1.8992529802604,-1,-1,-1,1,0.631703620692959,0.928662022623965
1,1,1,48,-1,0,1.136,-1,-1,-0.117827776495514,1,-1,1,-1,-1.8992529802604,0.631703620692959
1,1,1,49,1,0,1.049,-1,-1,0.415892276186382,-1,1,-1,1,-0.117827776495514,-1.8992529802604
1,1,1,50,1,0,1.26,1,-1,0.102162373212536,-1,-1,-1,-1,0.415892276186382,-0.117827776495514
1,1,1,51,-1,1,1.139,1,-1,0.823818375727329,-1,-1,1,-1,0.102162373212536,0.415892276186382
1,1,1,52,1,0,1.353,-1,1,0.426277085898119,-1,-1,1,1,0.823818375727329,0.102162373212536
1,1,1,53,-1,0,1.049,1,-1,1.10422318394525,1,-1,-1,1,0.426277085898119,0.823818375727329
1,1,1,54,-1,1,1.47,-1,-1,0.102162373212536,-1,1,1,-1,1.10422318394525,0.426277085898119
1,1,1,55,-1,0,0.93,-1,1,1.43079768390415,-1,-1,-1,1,0.102162373212536,1.10422318394525
1,1,1,56,-1,0,1.141,-1,-1,-0.37195281152446,1,-1,-1,-1,1.43079768390415,0.102162373212536
1,1,1,57,1,1,1.017,-1,-1,0.433185107669934,-1,1,-1,-1,-0.37195281152446,1.43079768390415
1,1,1,58,1,0,0.841,1,1,-0.019824424893529,-1,-1,-1,-1,0.433185107669934,-0.37195281152446
1,1,1,59,1,1,0.84,1,-1,-0.768044640669895,1,-1,1,-1,-0.019824424893529,0.433185107669934
1,1,1,60,1,1,0.931,1,1,-0.772729437653208,-1,1,1,1,-0.768044640669895,-0.019824424893529
1,1,1,61,1,1,1.22,1,1,-0.367721138468073,1,-1,1,1,-0.772729437653208,-0.768044640669895
1,1,1,62,1,1,1.139,1,1,0.696788927317844,1,1,1,1,-0.367721138468073,-0.772729437653208
1,1,1,63,-1,0,1.225,1,1,0.426277085898119,1,1,1,1,0.696788927317844,-0.367721138468073
1,1,1,64,-1,0,1.138,-1,-1,0.71289353627063,1,1,1,1,0.426277085898119,0.696788927317844
1,1,1,65,-1,0,0.811,-1,-1,0.422818524937959,-1,1,-1,1,0.71289353627063,0.426277085898119
1,1,1,66,-1,1,1.2,-1,-1,-0.911071432239031,-1,-1,-1,-1,0.422818524937959,0.71289353627063
1,1,1,67,1,0,1.084,-1,1,0.631703620692959,-1,-1,-1,-1,-0.911071432239031,0.422818524937959
1,1,1,68,-1,0,0.961,1,-1,0.231395725164133,1,-1,-1,-1,0.631703620692959,-0.911071432239031
1,1,1,69,-1,1,1.112,-1,-1,-0.242840542965914,-1,1,1,-1,0.231395725164133,0.631703620692959
1,1,1,70,-1,0,1.022,-1,1,0.331812823970645,-1,-1,-1,1,-0.242840542965914,0.231395725164133
1,1,1,71,-1,0,1.141,-1,-1,-0.000513099280557158,1,-1,-1,-1,0.331812823970645,-0.242840542965914
1,1,1,72,1,1,1.703,-1,-1,0.433185107669934,-1,1,-1,-1,-0.000513099280557158,0.331812823970645
1,1,1,73,-1,0,0.783,1,1,2.01012862991734,-1,-1,-1,-1,0.433185107669934,-0.000513099280557158
1,1,1,74,-1,0,0.778,-1,-1,-1.0494194135189,1,-1,1,-1,2.01012862991734,0.433185107669934
1,1,1,75,1,1,0.96,-1,-1,-1.07464417243087,-1,1,-1,1,-1.0494194135189,2.01012862991734
1,1,1,76,1,1,0.843,1,1,-0.24694004505406,-1,-1,-1,-1,-1.07464417243087,-1.0494194135189
1,1,1,77,1,1,0.871,1,1,-0.758691735084816,1,-1,1,-1,-0.24694004505406,-1.07464417243087
1,1,1,78,-1,1,1.143,1,1,-0.630031515364375,1,1,1,1,-0.758691735084816,-0.24694004505406
1,1,1,79,1,0,0.661,-1,1,0.440081031323876,1,1,1,1,-0.630031515364375,-0.758691735084816
1,1,2,0,1,0,1.46,1,-1,-1.7163607532153,1,1,-1,1,0.440081031323876,-0.630031515364375
1,1,2,1,1,1,1.104,1,-1,0.827910111531846,-1,1,1,-1,-1.7163607532153,0.440081031323876
