subj_idx,session,block,trial,stimulus,coherence,response,rt,prevstim,prevresp,prev2resp,prev2stim,prev3resp,prev3stim,prevrt
1,1,1,63,-27,27,0,0.350495100021362,-1,-1,1,1,1,1,0.183897256851196
1,1,1,64,3,3,1,0.667139768600464,-1,-1,-1,-1,1,1,0.100495100021362
1,1,1,65,9,9,0,0.283795833587646,1,1,-1,-1,-1,-1,0.417139768600464
1,1,1,66,9,9,1,0.550455093383789,1,-1,1,1,-1,-1,0.0337958335876465
1,1,1,67,27,27,1,0.300489902496338,1,1,-1,1,1,1,0.300455093383789
1,1,1,68,81,81,1,0.367614507675171,1,1,1,1,-1,1,0.0504899024963379
1,1,1,69,9,9,1,0.484289169311523,1,1,1,1,1,1,0.117614507675171
1,1,1,70,-0,0,1,0.350554943084717,1,1,1,1,1,1,0.234289169311523
1,1,1,71,27,27,1,0.500450134277344,-1,1,1,1,1,1,0.100554943084717
1,1,1,72,81,81,1,0.417589902877808,1,1,1,-1,1,1,0.250450134277344
1,1,1,73,3,3,0,0.517136812210083,1,1,1,1,1,-1,0.167589902877808
1,1,1,74,-27,27,0,0.533804416656494,1,-1,1,1,1,1,0.267136812210083
1,1,1,75,3,3,0,1.3337869644165,-1,-1,-1,1,1,1,0.283804416656494
1,1,1,76,81,81,1,0.484248876571655,1,-1,-1,-1,-1,1,1.0837869644165
1,1,1,77,-0,0,1,0.60045599937439,1,1,-1,1,-1,-1,0.234248876571655
1,1,1,78,27,27,1,0.400949954986572,-1,1,1,1,-1,1,0.35045599937439
1,1,1,79,-9,9,0,0.400459051132202,1,1,1,-1,1,1,0.150949954986572
1,1,1,80,-81,81,0,0.350472927093506,-1,-1,1,1,1,-1,0.150459051132202
1,1,1,81,9,9,1,0.434262990951538,-1,-1,-1,-1,1,1,0.100472927093506
1,1,1,82,3,3,1,0.783785820007324,1,1,-1,-1,-1,-1,0.184262990951538
1,1,1,83,-27,27,0,0.38385796546936,1,1,1,1,-1,-1,0.533785820007324
1,1,1,84,27,27,1,0.617124795913696,-1,-1,1,1,1,1,0.13385796546936
1,1,1,85,-81,81,0,0.317598819732666,1,1,-1,-1,1,1,0.367124795913696
1,1,1,86,-27,27,0,0.484220266342163,-1,-1,1,1,-1,-1,0.067598819732666
1,1,1,87,81,81,1,0.333822965621948,-1,-1,-1,-1,1,1,0.234220266342163
1,1,1,88,81,81,1,0.933784961700439,1,1,-1,-1,-1,-1,0.0838229656219482
1,1,1,89,-3,3,0,0.467132568359375,1,1,1,1,-1,-1,0.683784961700439
1,1,1,90,-0,0,0,0.367131948471069,-1,-1,1,1,1,1,0.217132568359375
1,1,1,91,0,0,1,0.467149019241333,-1,-1,-1,-1,1,1,0.117131948471069
1,1,1,92,-9,9,1,0.384259939193726,1,1,-1,-1,-1,-1,0.217149019241333
1,1,1,93,-3,3,0,0.333802938461304,-1,1,1,1,-1,-1,0.134259939193726
1,1,1,94,-27,27,0,0.284235954284668,-1,-1,1,-1,1,1,0.0838029384613037
1,1,1,95,81,81,1,0.467652559280396,-1,-1,-1,-1,1,-1,0.034235954284668
1,1,1,96,-9,9,1,0.300950527191162,1,1,-1,-1,-1,-1,0.217652559280396
1,1,1,97,-3,3,1,0.683783054351807,-1,1,1,1,-1,-1,0.0509505271911621
1,1,1,98,-81,81,0,0.333835601806641,-1,1,1,-1,1,1,0.433783054351807
1,1,1,99,-9,9,0,0.483809471130371,-1,-1,1,-1,1,-1,0.0838356018066406
1,1,2,4,0,0,1,0.468309164047241,-1,-1,-1,-1,-1,-1,0.133810997009277
1,1,2,5,0,0,0,0.500936031341553,1,1,-1,-1,-1,-1,0.218309164047241
1,1,2,6,3,3,0,0.817128419876099,1,-1,1,1,-1,-1,0.250936031341553
1,1,2,7,27,27,1,0.400946140289307,1,-1,-1,1,1,1,0.567128419876099
1,1,2,8,-27,27,0,0.567569255828857,1,1,-1,1,-1,1,0.150946140289307
1,1,2,9,9,9,1,0.41716194152832,-1,-1,1,1,-1,1,0.317569255828857
1,1,2,10,-9,9,0,0.717120409011841,1,1,-1,-1,1,1,0.16716194152832
1,1,2,11,0,0,1,0.800441980361938,-1,-1,1,1,-1,-1,0.467120409011841
1,1,2,12,-9,9,1,0.367642879486084,1,1,-1,-1,1,1,0.550441980361938
1,1,2,13,27,27,1,0.483781099319458,-1,1,1,1,-1,-1,0.117642879486084
1,1,2,14,81,81,1,0.383795976638794,1,1,1,-1,1,1,0.233781099319458
1,1,2,15,81,81,1,0.517127990722656,1,1,1,1,1,-1,0.133795976638794
1,1,2,16,-3,3,0,0.800899982452393,1,1,1,1,1,1,0.267127990722656
1,1,2,17,27,27,1,0.400518894195557,-1,-1,1,1,1,1,0.550899982452393
1,1,2,18,81,81,1,0.800498008728027,1,1,-1,-1,1,1,0.150518894195557
1,1,2,19,-81,81,0,0.46712327003479,1,1,1,1,-1,-1,0.550498008728027
1,1,2,20,-81,81,0,0.483790159225464,-1,-1,1,1,1,1,0.21712327003479
1,1,2,21,-27,27,0,0.517158985137939,-1,-1,-1,-1,1,1,0.233790159225464
1,1,2,22,-9,9,0,0.550915956497192,-1,-1,-1,-1,-1,-1,0.267158985137939
1,1,2,23,9,9,1,0.417146682739258,-1,-1,-1,-1,-1,-1,0.300915956497192
1,1,2,24,-81,81,0,0.567113161087036,1,1,-1,-1,-1,-1,0.167146682739258
1,1,2,25,3,3,1,0.800930023193359,-1,-1,1,1,-1,-1,0.317113161087036
1,1,2,26,-3,3,1,0.617144823074341,1,1,-1,-1,1,1,0.550930023193359
1,1,2,27,0,0,0,0.667128324508667,-1,1,1,1,-1,-1,0.367144823074341
1,1,2,28,9,9,1,0.433802843093872,1,-1,1,-1,1,1,0.417128324508667
1,1,2,29,27,27,1,0.450453042984009,1,1,-1,1,1,-1,0.183802843093872
1,1,2,30,-3,3,1,0.66711950302124,1,1,1,1,-1,1,0.200453042984009
1,1,2,31,27,27,1,0.433846950531006,-1,1,1,1,1,1,0.41711950302124
1,1,2,32,-9,9,0,0.433861017227173,1,1,1,-1,1,1,0.183846950531006
1,1,2,33,0,0,0,0.617583036422729,-1,-1,1,1,1,-1,0.183861017227173
1,1,2,34,-0,0,1,0.584409952163696,1,-1,-1,-1,1,1,0.367583036422729
1,1,2,35,-0,0,0,0.650909900665283,-1,1,-1,1,-1,-1,0.334409952163696
1,1,2,36,9,9,1,0.400454044342041,-1,-1,1,-1,-1,1,0.400909900665283
1,1,2,37,9,9,1,0.500449895858765,1,1,-1,-1,1,-1,0.150454044342041
1,1,2,38,81,81,1,0.367140769958496,1,1,1,1,-1,-1,0.250449895858765
1,1,2,39,9,9,1,0.534243822097778,1,1,1,1,1,1,0.117140769958496
1,1,2,40,-81,81,0,0.367604970932007,1,1,1,1,1,1,0.284243822097778
1,1,2,41,-3,3,1,0.717674255371094,-1,-1,1,1,1,1,0.117604970932007
1,1,2,42,27,27,1,0.583796977996826,-1,1,-1,-1,1,1,0.467674255371094
1,1,2,43,9,9,1,0.750915050506592,1,1,1,-1,-1,-1,0.333796977996826
1,1,2,44,81,81,1,0.600460290908813,1,1,1,1,1,-1,0.500915050506592
1,1,2,45,81,81,1,0.517149925231934,1,1,1,1,1,1,0.350460290908813
1,1,2,46,-81,81,0,0.567588090896606,1,1,1,1,1,1,0.267149925231934
1,1,2,47,-27,27,0,0.450450897216797,-1,-1,1,1,1,1,0.317588090896606
1,1,2,48,-3,3,0,0.767589569091797,-1,-1,-1,-1,1,1,0.200450897216797
1,1,2,49,-27,27,0,0.500483989715576,-1,-1,-1,-1,-1,-1,0.517589569091797
1,1,2,50,3,3,1,0.584247827529907,-1,-1,-1,-1,-1,-1,0.250483989715576
1,1,2,51,81,81,1,0.467582702636719,1,1,-1,-1,-1,-1,0.334247827529907
1,1,2,52,-27,27,0,0.500463962554932,1,1,1,1,-1,-1,0.217582702636719
1,1,2,53,9,9,1,0.484251022338867,-1,-1,1,1,1,1,0.250463962554932
1,1,2,54,-81,81,0,0.483790874481201,1,1,-1,-1,1,1,0.234251022338867
1,1,2,55,-3,3,1,0.850454092025757,-1,-1,1,1,-1,-1,0.233790874481201
1,1,2,56,9,9,1,0.350525617599487,-1,1,-1,-1,1,1,0.600454092025757
1,1,2,57,-3,3,1,0.567158937454224,1,1,1,-1,-1,-1,0.100525617599487
1,1,2,58,27,27,1,0.467119932174683,-1,1,1,1,1,-1,0.317158937454224
1,1,2,59,81,81,1,0.400460004806519,1,1,1,-1,1,1,0.217119932174683
1,1,2,60,-3,3,1,0.467194080352783,1,1,1,1,1,-1,0.150460004806519
1,1,2,61,-81,81,0,0.267145872116089,-1,1,1,1,1,1,0.217194080352783
1,1,2,62,0,0,0,0.617590665817261,-1,-1,1,-1,1,1,0.0171458721160889
1,1,2,63,3,3,0,0.633869886398315,1,-1,-1,-1,1,-1,0.367590665817261
1,1,2,64,-9,9,1,0.550448894500732,1,-1,-1,1,-1,-1,0.383869886398315
1,1,2,65,-9,9,0,0.384555101394653,-1,1,-1,1,-1,1,0.300448894500732
1,1,2,66,0,0,0,0.500455856323242,-1,-1,1,-1,-1,1,0.134555101394653
1,1,2,67,9,9,1,0.500915050506592,1,-1,-1,-1,1,-1,0.250455856323242
1,1,2,68,-3,3,0,0.484248876571655,1,1,-1,1,-1,-1,0.250915050506592
1,1,2,69,9,9,1,0.283797979354858,-1,-1,1,1,-1,1,0.234248876571655
1,1,2,70,0,0,1,1.0508987903595,1,1,-1,-1,1,1,0.0337979793548584
1,1,2,71,27,27,1,0.51758599281311,1,1,1,1,-1,-1,0.800898790359497
1,1,2,72,27,27,1,0.534251928329468,1,1,1,1,1,1,0.26758599281311
1,1,2,73,27,27,1,0.600495100021362,1,1,1,1,1,1,0.284251928329468
1,1,2,74,-9,9,0,0.550461292266846,1,1,1,1,1,1,0.350495100021362
1,1,2,75,-27,27,0,0.367216110229492,-1,-1,1,1,1,1,0.300461292266846
1,1,2,76,-9,9,0,0.400470972061157,-1,-1,-1,-1,1,1,0.117216110229492
1,1,2,77,27,27,1,0.367144584655762,-1,-1,-1,-1,-1,-1,0.150470972061157
1,1,2,78,-81,81,0,0.583822250366211,1,1,-1,-1,-1,-1,0.117144584655762
1,1,2,79,-27,27,0,0.500464916229248,-1,-1,1,1,-1,-1,0.333822250366211
1,1,2,80,3,3,0,0.634236812591553,-1,-1,-1,-1,1,1,0.250464916229248
1,1,2,81,-3,3,1,0.784516096115112,1,-1,-1,-1,-1,-1,0.384236812591553
1,1,2,82,3,3,1,0.700454711914062,-1,1,-1,1,-1,-1,0.534516096115112
1,1,2,83,81,81,1,0.350890159606934,1,1,1,-1,-1,1,0.450454711914062
