correct,rt,stimulus,isi,subj_idx,session,trial,response,prevresp,prev2resp,prev3resp,prevstim,prev2stim,prev3stim,prevrt
1,0.779931370504528,1,6.053,109,1,64,1,1,1,-1,1,1,-1,NaN
1,1.39218364966564,-1,5.105,109,1,65,0,1,1,1,1,1,1,NaN
0,1.21897571836689,1,5.788,109,1,66,0,-1,1,1,-1,1,1,NaN
1,0.603063105831097,-1,6.312,109,1,67,0,-1,-1,1,1,-1,1,NaN
1,0.564264667769748,-1,5.221,109,1,68,0,-1,-1,-1,-1,1,-1,NaN
1,0.651387793803224,1,6.222,109,1,69,1,-1,-1,-1,-1,-1,1,NaN
1,0.90521099502439,-1,5.948,109,1,70,0,1,-1,-1,1,-1,-1,NaN
1,0.593716073120959,1,5.061,109,1,71,1,-1,1,-1,-1,1,-1,NaN
1,0.560343343946442,-1,5.948,109,1,72,0,1,-1,1,1,-1,1,NaN
1,0.526709436027886,-1,5.333,109,1,73,0,-1,1,-1,-1,1,-1,NaN
1,0.991147888212254,1,5.177,109,1,74,1,-1,-1,1,-1,-1,1,NaN
1,0.745600847003516,1,5.797,109,1,75,1,1,-1,-1,1,-1,-1,NaN
1,0.543830782734403,-1,5.203,109,1,76,0,1,1,-1,1,1,-1,NaN
1,0.585751324607372,-1,6.39,109,1,77,0,-1,1,1,-1,1,1,NaN
1,0.50297558760667,1,5.149,109,1,78,1,-1,-1,1,-1,-1,1,NaN
1,0.505895865342609,-1,5.167,109,1,79,0,1,-1,-1,1,-1,-1,NaN
1,0.655225930199776,1,5.885,109,1,80,1,-1,1,-1,-1,1,-1,NaN
1,0.656628022699806,-1,5.177,109,1,81,0,1,-1,1,1,-1,1,NaN
1,0.661925845205587,1,5.573,109,1,82,1,-1,1,-1,-1,1,-1,NaN
1,0.516920379729527,-1,5.011,109,1,83,0,1,-1,1,1,-1,1,NaN
1,0.978492715314133,1,6.037,109,1,84,1,-1,1,-1,-1,1,-1,NaN
1,0.671945681951001,1,5.278,109,1,85,1,1,-1,1,1,-1,1,NaN
1,0.64458170655962,1,5.565,109,1,86,1,1,1,-1,1,1,-1,NaN
1,1.27771892436158,-1,5.48,109,1,87,0,1,1,1,1,1,1,NaN
1,0.777300117357299,1,6.402,109,1,88,1,-1,1,1,-1,1,1,NaN
1,0.825602154938679,-1,6.221,109,1,89,0,1,-1,1,1,-1,1,NaN
0,0.638438588828649,-1,5.015,109,1,90,1,-1,1,-1,-1,1,-1,NaN
1,0.74038897882383,-1,5.928,109,1,91,0,1,-1,1,-1,-1,1,NaN
1,0.59673306091463,1,6.211,109,1,92,1,-1,1,-1,-1,-1,-1,NaN
1,0.799159357571625,1,5.167,109,1,93,1,1,-1,1,1,-1,-1,NaN
1,0.705348181443696,1,5.395,109,1,94,1,1,1,-1,1,1,-1,NaN
1,0.828748216748863,1,5.007,109,1,95,1,1,1,1,1,1,1,NaN
1,0.71485628861501,-1,5.363,109,1,96,0,1,1,1,1,1,1,NaN
1,0.593050904538359,-1,5.46,109,1,97,0,-1,1,1,-1,1,1,NaN
1,0.713513451693871,-1,5.823,109,1,98,0,-1,-1,1,-1,-1,1,NaN
1,0.634970521605283,-1,6.129,109,1,99,0,-1,-1,-1,-1,-1,-1,NaN
1,0.814179007656094,-1,6.188,109,1,100,0,-1,-1,-1,-1,-1,-1,NaN
1,0.563743159900696,-1,5.639,109,2,2,0,1,-1,-1,1,-1,-1,NaN
1,0.618258611908459,1,5.656,109,2,3,1,-1,1,-1,-1,1,-1,NaN
1,0.919030341089638,1,5.121,109,2,4,1,1,-1,1,1,-1,1,NaN
1,0.533912817502824,-1,6.416,109,2,5,0,1,1,-1,1,1,-1,NaN
1,0.52717001588826,-1,5.01,109,2,6,0,-1,1,1,-1,1,1,NaN
1,0.644883956627382,1,5.175,109,2,7,1,-1,-1,1,-1,-1,1,NaN
0,0.680697489391605,-1,5.38,109,2,8,1,1,-1,-1,1,-1,-1,NaN
1,0.760044316480162,-1,5.23,109,2,9,0,1,1,-1,-1,1,-1,NaN
1,0.642404025472388,-1,6.334,109,2,10,0,-1,1,1,-1,-1,1,NaN
1,0.491983023975081,-1,5.132,109,2,11,0,-1,-1,1,-1,-1,-1,NaN
1,0.639982815738222,1,5.269,109,2,12,1,-1,-1,-1,-1,-1,-1,NaN
1,0.703776642846606,-1,5.547,109,2,13,0,1,-1,-1,1,-1,-1,NaN
0,0.626572354544805,-1,5.055,109,2,14,1,-1,1,-1,-1,1,-1,NaN
